N_unmapped	560269	560269	560269
N_multimapping	2008015	2008015	2008015
N_noFeature	3253794	16062117	16024290
N_ambiguous	1475241	286978	287483
DDX11L1	0	1	0
WASH7P	704	382	323
MIR6859-1	6	3	3
MIR1302-2HG	0	0	0
MIR1302-2	0	0	0
FAM138A	0	0	0
OR4F5	0	0	0
LOC100996442	8	6	2
LOC729737	7	1	6
DDX11L17	113	62	51
WASH9P	466	234	232
MIR6859-2	0	0	0
LOC107985721	0	0	0
LOC112268260	3	0	3
OR4F29	0	0	0
LOC100132287	2	2	0
LOC105378947	2	0	2
LOC101928626	0	0	0
MIR12136	4	2	2
OR4F16	1	0	1
LOC100288069	472	214	258
LINC01409	18	9	9
FAM87B	10	5	7
LINC00115	20	8	14
LINC01128	606	298	308
LOC107984850	0	0	0
FAM41C	1	1	0
LOC284600	172	80	92
LINC02593	142	66	76
LOC107985728	149	90	66
SAMD11	1408	1549	1595
NOC2L	7840	4768	4801
KLHL17	1571	800	771
PLEKHN1	3	2	1
PERM1	0	0	0
HES4	515	238	277
ISG15	211	108	103
AGRN	12777	6411	6366
LOC100288175	13	12	13
LOC105378948	8	11	9
RNF223	1	0	1
C1orf159	1299	647	652
LINC01342	1	1	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
TTLL10-AS1	1	0	1
TTLL10	11	9	2
TNFRSF18	19	6	13
TNFRSF4	16	11	5
SDF4	9237	4662	4575
B3GALT6	1700	844	856
C1QTNF12	37	27	10
UBE2J2	4763	2433	2330
LINC01786	62	42	20
SCNN1D	239	128	111
ACAP3	3037	1510	1527
MIR6726	0	0	0
SNORD167	0	0	0
PUSL1	1000	558	579
INTS11	4014	2071	2081
MIR6727	0	0	0
CPTP	1192	543	649
TAS1R3	11	22	16
DVL1	4352	2236	2143
MIR6808	0	0	0
MXRA8	347	179	168
AURKAIP1	5065	2526	2540
CCNL2	5576	2941	2636
MRPL20-AS1	815	665	769
MRPL20	2495	1585	1528
MRPL20-DT	591	298	293
LOC107984868	5	1	4
ANKRD65	159	91	94
LOC105378585	29	31	24
TMEM88B	46	24	23
LINC01770	3	5	5
LOC107985729	4	5	5
VWA1	23	13	10
ATAD3C	5	3	2
ATAD3B	4425	2230	2196
ATAD3A	4756	2414	2344
TMEM240	371	202	171
SSU72	6265	3051	3214
FNDC10	267	196	141
LOC105378586	14	27	57
MIB2	2510	1211	1300
MMP23B	133	140	174
CDK11B	3898	2030	2045
SLC35E2B	4325	2097	2228
MMP23A	2	1	1
CDK11A	2194	1073	1121
SLC35E2A	1385	738	687
LOC112268218	1	145	177
NADK	2853	1627	1507
GNB1	9175	4604	4581
LOC105378949	12	13	9
CALML6	3	2	1
TMEM52	1	0	1
CFAP74	0	0	0
LOC107984872	0	0	0
LOC105378589	0	0	0
GABRD	6	5	1
LOC105378590	0	0	0
LOC105378591	0	0	0
PRKCZ	222	263	216
PRKCZ-AS1	51	31	26
FAAP20	1154	839	832
LOC112268219	434	361	339
LOC105378593	0	0	0
SKI	4634	2340	2294
MORN1	302	171	135
LOC100129534	60	30	30
RER1	2398	1630	1650
PEX10	336	620	633
PLCH2	0	20	19
PANK4	35	18	17
HES5	0	0	0
TNFRSF14-AS1	0	0	0
TNFRSF14	0	0	0
LOC100996583	0	0	0
PRXL2B	0	0	0
MMEL1	0	0	0
MMEL1-AS1	0	0	0
TTC34	0	0	0
LOC105378603	0	0	0
LOC105378602	0	0	0
LOC105378601	0	0	0
LOC112268220	0	0	0
LOC107985732	0	0	0
LOC105378600	0	0	0
LOC105378598	0	0	0
LOC107984904	0	0	0
LOC105378599	0	0	0
ACTRT2	0	0	0
PRDM16-DT	1	0	1
PRDM16	4	3	2
MIR4251	0	0	0
LOC105378606	0	0	0
LOC107984909	0	0	0
LOC105378605	0	0	0
LOC105378604	0	0	0
ARHGEF16	71	39	32
MEGF6	42	20	22
LOC105378608	2	2	0
MIR551A	0	0	0
LOC105378607	0	0	0
TPRG1L	1130	565	566
WRAP73	584	296	290
TP73	1634	820	889
TP73-AS3	0	0	0
LOC105378609	3	3	0
TP73-AS1	2002	1092	985
CCDC27	0	0	0
SMIM1	0	0	0
LRRC47	2405	1201	1204
CEP104	2489	1281	1212
DFFB	238	128	116
LOC107984910	23	8	17
C1orf174	901	437	464
LINC01134	29	13	16
LINC01346	0	0	0
LINC01345	0	0	0
LINC02780	1	1	0
LINC01777	0	0	0
LOC105376674	0	0	0
LINC01646	0	0	0
LOC107985376	0	0	0
AJAP1	86	36	50
LINC02781	0	0	0
LOC102724429	0	0	0
LINC02782	0	0	0
LOC105376682	0	0	0
LOC107984911	0	0	0
LOC105376686	0	0	0
MIR4689	0	0	0
NPHP4	864	422	443
KCNAB2	357	179	179
CHD5	164	83	81
LOC105376687	0	0	0
RPL22	13702	6813	6889
LOC107985733	2	2	0
RNF207-AS1	0	0	0
RNF207	7	33	34
ICMT	3709	1909	1860
LINC00337	11	6	5
HES3	1	1	0
GPR153	4982	2462	2520
ACOT7	2379	1126	1253
HES2	9	4	5
ESPN	11	17	11
MIR4252	0	0	0
TNFRSF25	130	66	81
PLEKHG5	547	276	271
NOL9	1663	845	818
TAS1R1	10	4	9
LOC107984912	0	2	1
ZBTB48	674	328	346
KLHL21	4330	2128	2202
LOC107984913	43	21	22
PHF13	2575	1261	1314
THAP3	1068	1218	1253
DNAJC11	1981	1674	1710
LINC01672	0	0	0
CAMTA1-DT	25	17	8
CAMTA1	1867	918	949
LOC105376692	0	0	0
CAMTA1-AS2	0	0	0
CAMTA1-AS1	1	0	1
LOC105376691	0	0	0
LOC105376689	76	40	36
VAMP3	2243	1135	1108
PER3	248	145	103
UTS2	0	0	0
TNFRSF9	2	0	2
PARK7	11036	5340	5696
ERRFI1	5657	2875	2782
LOC107984915	1	0	1
LINC01714	1	0	1
LOC105376695	0	0	0
SLC45A1	207	91	116
RERE	5420	2652	2769
RERE-AS1	2	2	1
SNORD128	0	0	0
ENO1	82656	41337	41330
MIR6728	0	0	0
ENO1-AS1	44	29	26
LOC112268261	0	0	0
CA6	0	0	0
SLC2A7	0	0	0
SLC2A5	5	3	2
GPR157	239	134	105
MIR34AHG	1	1	0
MIR34A	0	0	0
LNCTAM34A	1	0	1
H6PD	604	291	313
SPSB1	152	80	72
LINC02606	12	6	6
SLC25A33	1126	577	549
TMEM201	4980	2554	2426
LOC105376712	0	0	0
PIK3CD	477	377	391
PIK3CD-AS1	0	0	0
PIK3CD-AS2	133	68	65
CLSTN1	8573	4526	4338
CTNNBIP1	296	228	235
LOC105376717	3	89	81
LZIC	2065	1008	1062
NMNAT1	363	186	182
TMEM274P	1	0	1
MIR5697	0	0	0
RBP7	4	3	1
UBE4B	3280	1626	1654
KIF1B	4097	2089	2008
LOC105376725	0	0	0
PGD	10742	5360	5382
CENPS-CORT	1	0	1
CENPS	32	13	19
CORT	25	17	8
DFFA	2898	1420	1478
PEX14	1552	945	607
CASZ1	723	364	359
LOC105376733	0	0	0
LOC105376735	0	0	0
C1orf127	0	0	0
TARDBP	8972	4530	4481
MASP2	82	51	70
SRM	4665	2436	2229
EXOSC10	3526	1939	1858
EXOSC10-AS1	5	137	139
MTOR	4448	2462	2380
MTOR-AS1	1	98	112
ANGPTL7	1	0	1
UBIAD1	1424	782	827
LOC105376737	0	0	0
LOC105376739	0	0	0
LOC105376740	0	0	0
DISP3	2	1	1
LOC112268221	0	0	0
LINC01647	0	0	0
FBXO2	4	1	3
FBXO44	15	11	4
FBXO6	11	9	3
MAD2L2	5597	2828	2770
DRAXIN	2661	1328	1333
AGTRAP	982	494	488
C1orf167	2	119	84
C1orf167-AS1	0	0	0
MTHFR	349	257	293
CLCN6	879	400	479
NPPA-AS1	4	3	8
NPPA	2	5	4
NPPB	0	0	0
RNU5E-1	1	1	0
KIAA2013	4480	2308	2172
PLOD1	14293	7171	7122
MFN2	6713	3426	3287
MIIP	1662	830	832
MIR6729	0	0	0
TNFRSF8	5	1	4
MIR7846	0	0	0
TNFRSF1B	1	1	0
MIR4632	0	0	0
LOC107984917	0	0	0
VPS13D	1238	603	635
SNORA59A	1	0	1
LINC02766	0	0	0
DHRS3	7	6	1
MIR6730	0	0	0
AADACL4	0	0	0
AADACL3	0	0	0
C1orf158	0	0	0
PRAMEF12	0	0	0
PRAMEF1	0	0	0
LINC01784	0	0	0
PRAMEF11	0	0	0
HNRNPCL1	0	0	0
PRAMEF2	0	0	0
PRAMEF4	0	0	0
PRAMEF10	0	0	0
PRAMEF7	0	0	0
PRAMEF6	0	0	0
PRAMEF27	0	0	0
HNRNPCL3	0	0	0
PRAMEF25	0	0	0
PRAMEF34P	0	0	0
HNRNPCL2	0	0	0
PRAMEF36P	0	0	0
PRAMEF26	0	0	0
HNRNPCL4	0	0	0
PRAMEF9	0	0	0
PRAMEF13	0	0	0
PRAMEF18	0	0	0
PRAMEF5	0	0	0
PRAMEF8	0	0	0
PRAMEF33	0	0	0
PRAMEF15	0	0	0
PRAMEF14	0	0	0
PRAMEF19	0	0	0
PRAMEF17	0	0	0
PRAMEF20	0	0	0
LRRC38	0	0	0
LOC102724856	0	0	0
LOC107984918	0	0	0
PDPN	3	2	1
LOC107984919	0	0	0
LOC105378612	0	0	0
LOC105376756	1	1	0
PRDM2	1921	921	1000
KAZN	924	517	536
LOC107985467	0	0	0
LOC107985468	1	0	1
KAZN-AS1	1	1	0
LOC105376759	0	0	0
LOC107985469	0	0	0
TMEM51-AS1	15	80	70
TMEM51	1349	684	671
TMEM51-AS2	0	0	0
FHAD1	9	8	8
FHAD1-AS1	3	4	6
LOC101927441	7	4	3
EFHD2	7804	4020	3784
CTRC	10	7	3
CELA2A	4	2	2
LOC105376767	5	2	3
CELA2B	14	12	18
CASP9	538	285	269
DNAJC16	896	440	469
SCARNA21B	0	0	0
AGMAT	4	10	7
DDI2	2597	1302	1295
RSC1A1	0	0	0
PLEKHM2	2914	1457	1457
SLC25A34	57	36	25
SLC25A34-AS1	0	2	2
TMEM82	0	0	0
FBLIM1	6	2	4
UQCRHL	62	41	21
FLJ37453	224	215	193
SPEN	8411	4462	4587
ZBTB17	1525	1003	976
SRARP	0	0	0
HSPB7	614	313	301
CLCNKA	13	7	6
CLCNKB	1	0	1
FAM131C	0	0	0
EPHA2	16666	8540	8127
LOC101927479	19	6	14
ARHGEF19	46	24	22
ANO7L1	4	2	2
CPLANE2	57	30	27
FBXO42	1130	565	565
SZRD1	3796	4543	4667
SPATA21	2	2738	2678
NECAP2	1764	899	866
LINC01772	19	18	14
CROCCP3	220	125	115
RNU1-1	0	0	0
TRN-GTT5-1	0	0	0
LINC01783	1	1	0
TRE-TTC4-1	0	0	0
TRG-CCC1-1	0	0	0
NBPF1	1464	732	733
LOC105376794	1243	1240	1226
CROCCP2	553	856	925
MST1P2	43	24	20
LOC107985736	0	0	0
RNU1-3	0	0	0
TRG-CCC4-1	0	0	0
ESPNP	113	64	49
TRG-CCC5-1	0	0	0
RNU1-4	0	0	0
MST1L	18	8	11
MIR3675	0	0	0
TRG-CCC1-2	0	0	0
LOC112267871	0	0	0
TRE-TTC3-1	0	0	0
TRN-GTT13-1	0	0	0
LOC105376805	2	1	1
TRN-GTT4-1	0	0	0
RNU1-2	0	0	0
CROCC	1737	879	866
MFAP2	0	0	0
LOC105376806	0	0	0
ATP13A2	1962	1019	943
SDHB	2166	1097	1069
PADI2	10	6	4
LOC105376808	0	0	0
LINC02783	0	0	0
PADI1	0	0	0
PADI3	0	0	0
MIR3972	0	0	0
PADI4	0	0	0
