N_unmapped	2113396	2113396	2113396
N_multimapping	2511661	2511661	2511661
N_noFeature	4041237	19075054	19127812
N_ambiguous	1819482	363496	363463
DDX11L1	0	1	0
WASH7P	940	479	462
MIR6859-1	7	4	3
MIR1302-2HG	0	0	0
MIR1302-2	0	0	0
FAM138A	2	2	0
OR4F5	0	0	0
LOC100996442	12	7	5
LOC729737	29	15	14
DDX11L17	156	79	77
WASH9P	559	269	290
MIR6859-2	1	1	0
LOC107985721	1	1	0
LOC112268260	1	0	1
OR4F29	0	0	0
LOC100132287	4	0	4
LOC105378947	1	1	0
LOC101928626	0	0	0
MIR12136	35	25	10
OR4F16	0	0	0
LOC100288069	553	267	289
LINC01409	29	17	15
FAM87B	7	2	5
LINC00115	32	8	24
LINC01128	760	391	369
LOC107984850	1	0	1
FAM41C	2	0	2
LOC284600	232	125	107
LINC02593	234	119	115
LOC107985728	181	91	101
SAMD11	2230	2395	2333
NOC2L	9431	5862	6056
KLHL17	2175	1117	1058
PLEKHN1	5	2	4
PERM1	0	1	0
HES4	648	310	338
ISG15	360	184	176
AGRN	15477	7609	7871
LOC100288175	27	22	17
LOC105378948	8	9	11
RNF223	1	0	1
C1orf159	1845	921	924
LINC01342	1	1	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
TTLL10-AS1	0	1	1
TTLL10	11	8	5
TNFRSF18	12	5	7
TNFRSF4	20	12	8
SDF4	10485	5276	5210
B3GALT6	2114	1054	1062
C1QTNF12	68	35	33
UBE2J2	5572	2897	2679
LINC01786	61	30	31
SCNN1D	227	121	106
ACAP3	3566	1756	1811
MIR6726	0	0	0
SNORD167	0	0	0
PUSL1	1066	592	615
INTS11	5053	2613	2580
MIR6727	0	0	0
CPTP	1705	812	893
TAS1R3	18	23	25
DVL1	5065	2645	2449
MIR6808	0	0	0
MXRA8	386	175	212
AURKAIP1	6279	3189	3092
CCNL2	7354	3600	3756
MRPL20-AS1	1036	919	926
MRPL20	3209	2000	2019
MRPL20-DT	649	338	313
LOC107984868	7	3	4
ANKRD65	176	103	91
LOC105378585	55	43	30
TMEM88B	82	44	41
LINC01770	16	14	9
LOC107985729	3	8	0
VWA1	31	13	20
ATAD3C	0	0	0
ATAD3B	5743	2889	2854
