N_unmapped	2238650	2238650	2238650
N_multimapping	2619319	2619319	2619319
N_noFeature	3743238	19276765	19274510
N_ambiguous	1862778	370255	370527
DDX11L1	0	0	1
WASH7P	1093	583	511
MIR6859-1	11	6	5
MIR1302-2HG	0	0	0
MIR1302-2	0	0	0
FAM138A	0	0	0
OR4F5	0	0	0
LOC100996442	11	2	9
LOC729737	29	19	10
DDX11L17	159	88	72
WASH9P	668	341	328
MIR6859-2	0	0	0
LOC107985721	1	1	0
LOC112268260	0	0	0
OR4F29	0	0	0
LOC100132287	5	0	5
LOC105378947	4	3	1
LOC101928626	1	0	1
MIR12136	15	11	4
OR4F16	1	0	1
LOC100288069	585	294	293
LINC01409	14	10	6
FAM87B	11	4	8
LINC00115	41	24	20
LINC01128	676	309	369
LOC107984850	0	0	0
FAM41C	0	0	0
LOC284600	264	140	124
LINC02593	254	134	120
LOC107985728	230	103	140
SAMD11	3207	2800	2868
NOC2L	11611	6952	7108
KLHL17	2710	1324	1386
PLEKHN1	5	7	1
PERM1	1	0	4
HES4	937	490	447
ISG15	329	159	170
AGRN	22291	11090	11203
LOC100288175	22	15	16
LOC105378948	5	6	8
RNF223	3	1	2
C1orf159	2369	1212	1157
LINC01342	0	0	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
TTLL10-AS1	0	1	0
TTLL10	10	4	7
TNFRSF18	27	12	15
TNFRSF4	24	9	15
SDF4	14361	7051	7311
B3GALT6	2863	1470	1393
C1QTNF12	61	27	34
UBE2J2	7111	3652	3460
LINC01786	81	42	39
SCNN1D	377	190	189
ACAP3	4960	2401	2561
MIR6726	0	0	0
SNORD167	0	0	0
PUSL1	1911	1055	1027
INTS11	6583	3408	3346
MIR6727	0	0	0
CPTP	2286	1150	1136
TAS1R3	26	28	32
DVL1	7402	3778	3658
MIR6808	0	0	0
MXRA8	622	316	307
AURKAIP1	8693	4309	4384
CCNL2	7722	3859	3867
MRPL20-AS1	1069	933	822
MRPL20	3520	2044	2158
MRPL20-DT	642	290	352
LOC107984868	2	2	0
ANKRD65	214	129	108
LOC105378585	26	18	31
